gene,regulated,GO_IDS
RAB3B,down,GO:0003924 GO:0005515 GO:0005525 GO:0019003 GO:0031489 GO:0006904 GO:0009306 GO:0017157 GO:0019882 GO:0051586 GO:0072659 GO:0097494 GO:0098693
SOST,down,GO:0005515 GO:0008201 GO:0030246 GO:0036122 GO:0140297 GO:0140678 GO:0001503 GO:0009612 GO:0030178 GO:0030279 GO:0030509 GO:0030514 GO:0031333 GO:0045893 GO:0051179 GO:0060070 GO:0071374 GO:0090090
VSIR,down,GO:0005515 GO:0019899 GO:0042802 GO:0061133 GO:0010628 GO:0010950 GO:0030335 GO:0031638 GO:0032689 GO:0032693 GO:0032700 GO:0032720 GO:0045591 GO:0046636 GO:0050776 GO:0120158 GO:2000562 GO:2000565
SLC12A8,down,GO:0005515 GO:0015379 GO:0006884 GO:0055064 GO:0055075 GO:1902476 GO:1990573
AIF1L,down,GO:0005509 GO:0051015 GO:0051017 GO:0097178
LMNB1,up,GO:0005198 GO:0005200 GO:0005515 GO:0043274 GO:1990837 GO:0006998 GO:0007010 GO:0007097 GO:0031507 GO:0051664 GO:0090435
TGM2,down,GO:0003810 GO:0005509 GO:0005515 GO:0005525 GO:0008233 GO:0050568 GO:0120295 GO:0120297 GO:0120298 GO:0120299 GO:0006508 GO:0007200 GO:0016570 GO:0018149 GO:0018277 GO:0032471 GO:0042981 GO:0043065 GO:0043277 GO:0043547 GO:0045785 GO:0050769 GO:0051057 GO:0051561 GO:0060348 GO:0060445 GO:0060662 GO:0071314 GO:1903351 GO:1904015 GO:2000425
F11R,down,GO:0001618 GO:0005178 GO:0005515 GO:0030165 GO:0042803 GO:0045296 GO:0001817 GO:0006954 GO:0007159 GO:0008360 GO:0031032 GO:0032956 GO:0034260 GO:0035025 GO:0035633 GO:0035683 GO:0043547 GO:0046718 GO:0050892 GO:0051493 GO:0051497 GO:0071260 GO:0072659 GO:0090557 GO:0090559 GO:0098609 GO:1901731 GO:1902396 GO:1903142 GO:2000249 GO:2000810
CYP1A1,down,GO:0004497 GO:0005506 GO:0005515 GO:0008391 GO:0016491 GO:0016679 GO:0016711 GO:0019825 GO:0019899 GO:0020037 GO:0030544 GO:0032451 GO:0051879 GO:0070330 GO:0070576 GO:0101020 GO:0101021 GO:0102033 GO:0106256 GO:0120319 GO:0001666 GO:0001676 GO:0002933 GO:0006306 GO:0006631 GO:0006694 GO:0006778 GO:0006805 GO:0007568 GO:0008202 GO:0008210 GO:0008283 GO:0009308 GO:0009611 GO:0009615 GO:0009624 GO:0009635 GO:0009692 GO:0009804 GO:0009812 GO:0010041 GO:0017143 GO:0019341 GO:0019373 GO:0032094 GO:0032496 GO:0033189 GO:0035902 GO:0042359 GO:0042572 GO:0042759 GO:0042904 GO:0043010 GO:0046677 GO:0046685 GO:0048565 GO:0050665 GO:0055093 GO:0060137 GO:0070365 GO:0071280 GO:0071407 GO:0097267 GO:1900087
KIF18B,up,GO:0003774 GO:0003777 GO:0005515 GO:0005524 GO:0008017 GO:0008574 GO:0016887 GO:0019894 GO:0000070 GO:0000278 GO:0007018 GO:0007019 GO:0051301 GO:0051302
HMGB2,up,GO:0000400 GO:0000976 GO:0000987 GO:0003677 GO:0003684 GO:0003690 GO:0003697 GO:0003713 GO:0003723 GO:0005515 GO:0008134 GO:0008301 GO:0019904 GO:0042056 GO:0044378 GO:0050786 GO:0097100 GO:0140297 GO:0000122 GO:0001938 GO:0002437 GO:0006265 GO:0006303 GO:0006325 GO:0006334 GO:0006357 GO:0007289 GO:0008584 GO:0008625 GO:0010629 GO:0032075 GO:0032392 GO:0032496 GO:0032728 GO:0033151 GO:0043388 GO:0045087 GO:0045089 GO:0045648 GO:0045654 GO:0045892 GO:0045893 GO:0045944 GO:0048545 GO:0050767 GO:0050829 GO:0050830 GO:0050918 GO:0060326 GO:0071222 GO:0072091 GO:1902042
ADGRL1,down,GO:0004930 GO:0005515 GO:0016524 GO:0030246 GO:0050839 GO:0007157 GO:0007166 GO:0007186 GO:0007189 GO:0035584 GO:0090129
LLGL2,down,GO:0005096 GO:0005515 GO:0030165 GO:0045159 GO:0006887 GO:0008593 GO:0015820 GO:0030866 GO:0032878 GO:0045197 GO:0050708 GO:0050790 GO:0051294 GO:0051301
PPL,down,GO:0005198 GO:0005200 GO:0005515 GO:0045296 GO:0009612 GO:0031424 GO:0042060 GO:0045104
ADAMTSL4,down,GO:0002020 GO:0005515 GO:0002064 GO:0006915 GO:0030198 GO:0043065 GO:0070285
GTSE1,up,GO:0003674 GO:0005515 GO:0008017 GO:0006977 GO:0007017
ARL6IP1,up,GO:0005515 GO:0042802 GO:0002038 GO:0006613 GO:0006915 GO:0043066 GO:0043154 GO:0071787 GO:1903371 GO:1990809
IFIT3,up,GO:0003674 GO:0003723 GO:0005515 GO:0042802 GO:0008285 GO:0009615 GO:0035457 GO:0043066 GO:0045087 GO:0051607
FCMR,down,GO:0004888 GO:0002376 GO:0006968 GO:0043066
CLSTN3,down,GO:0001540 GO:0005509 GO:0005515 GO:0019894 GO:0042988 GO:0001558 GO:0007156 GO:0007416 GO:0035249 GO:0050806 GO:0051932 GO:0051965 GO:1902474 GO:1905606
LMCD1,down,GO:0003714 GO:0005515 GO:0008270 GO:0000122 GO:0010611 GO:0070886
AREG,down,GO:0005125 GO:0005154 GO:0005515 GO:0008083 GO:0030297 GO:0048018 GO:0007171 GO:0007173 GO:0007186 GO:0007267 GO:0008284 GO:0010838 GO:0014009 GO:0031175 GO:0032355 GO:0038134 GO:0042542 GO:0043434 GO:0045668 GO:0045741 GO:0051384 GO:0051591 GO:0060598 GO:0060744 GO:0060749 GO:0060750
ESPL1,up,GO:0003824 GO:0004197 GO:0005515 GO:0008234 GO:0000070 GO:0000212 GO:0000281 GO:0006508 GO:0006915 GO:0040001 GO:0045143 GO:0045842 GO:0045875 GO:0051307
ACTBL2,down,GO:0003674 GO:0005515 GO:0005524 GO:0019901 GO:0098973 GO:0007409 GO:0008150 GO:0048870 GO:0098974
IFIT2,up,GO:0003723 GO:0005515 GO:0008637 GO:0009615 GO:0032091 GO:0035457 GO:0043065 GO:0045087 GO:0051607
LRRC15,down,GO:0001968 GO:0005518 GO:0043236 GO:0030335 GO:0046813 GO:1903077
VSNL1,down,GO:0005509 GO:0005515 GO:0035774 GO:0045921 GO:0046676
MEIS3,down,GO:0000978 GO:0000981 GO:0001228 GO:0003682 GO:0043565 GO:1990837 GO:0001654 GO:0006357 GO:0007420 GO:0008284 GO:0009880 GO:0009887 GO:0045944 GO:0051897 GO:2001234
FBXO2,down,GO:0001540 GO:0004842 GO:0005515 GO:0030246 GO:0061630 GO:0006508 GO:0006516 GO:0016567 GO:0030433 GO:0031146 GO:0031396 GO:0036211 GO:0099576
LINC02331,down,
KIF23,up,GO:0003777 GO:0005515 GO:0005524 GO:0008017 GO:0016887 GO:0000022 GO:0000281 GO:0007018 GO:0032467 GO:0051256
FOXM1,up,GO:0000977 GO:0000981 GO:0003700 GO:0005515 GO:0019901 GO:0000086 GO:0000122 GO:0006281 GO:0006357 GO:0006978 GO:0008284 GO:0032873 GO:0042127 GO:0045892 GO:0045893 GO:0045944 GO:0046578 GO:0051726 GO:2000377 GO:2000781
KIF20A,up,GO:0003777 GO:0005515 GO:0005524 GO:0008017 GO:0016887 GO:0019901 GO:0000281 GO:0001578 GO:0007018 GO:0015031 GO:0032465 GO:0061952
