gene,regulated,GO_IDS
LZTR1,up,GO:0005515 GO:0031267 GO:0016567 GO:0046580
ACAP3,up,GO:0005096 GO:0046872 GO:0001764 GO:0010975 GO:0050790
TRNI,up,
RPS29,down,GO:0003735 GO:0008270 GO:0002181 GO:0006412
WASHC1,up,GO:0003779 GO:0005515 GO:0031625 GO:0043014 GO:0043015 GO:0006887 GO:0010507 GO:0015031 GO:0016197 GO:0022617 GO:0030335 GO:0031274 GO:0031396 GO:0032456 GO:0034314 GO:0034315 GO:0042147 GO:0043553
RPS15A,down,GO:0003723 GO:0003735 GO:0005515 GO:0002181 GO:0006412 GO:0008284 GO:0009615 GO:0045787
NKTR,up,GO:0003755 GO:0016018 GO:0000413 GO:0006457
RTEL1-TNFRSF6B,up,
TAF1C,up,GO:0001164 GO:0001181 GO:0005515 GO:0001188 GO:0006360 GO:0006361 GO:0006366
TRNT,up,
INPP5E,up,GO:0004439 GO:0004445 GO:0016314 GO:0034485 GO:0006661 GO:0008150 GO:0014067 GO:0017148 GO:0046855 GO:0046856 GO:1903565
CHTF18,up,GO:0003677 GO:0003689 GO:0005515 GO:0005524 GO:0016887 GO:0017116 GO:0006260 GO:0007049 GO:0032508 GO:1900264
TCIRG1,up,GO:0005515 GO:0046961 GO:0051117 GO:0000045 GO:0001503 GO:0002158 GO:0006874 GO:0006915 GO:0006954 GO:0006968 GO:0007035 GO:0007039 GO:0007042 GO:0008284 GO:0010155 GO:0010272 GO:0010467 GO:0010468 GO:0016064 GO:0016236 GO:0021554 GO:0030010 GO:0030183 GO:0030217 GO:0030316 GO:0031529 GO:0033365 GO:0035709 GO:0035711 GO:0043029 GO:0044691 GO:0045453 GO:0045667 GO:0045851 GO:0050796 GO:0051650 GO:0060041 GO:0061484 GO:0070166 GO:0071345 GO:0090383 GO:0097188 GO:1902600
SUGP2,up,GO:0003723 GO:0006397 GO:0008380
LRCH4,up,GO:0005515 GO:0007399 GO:0045892
NXF1,up,GO:0003723 GO:0003729 GO:0005515 GO:0006406 GO:0015031 GO:0016973
KIFC2,up,GO:0003777 GO:0005524 GO:0008017 GO:0016887 GO:0007018 GO:0090307
GAS2L1,up,GO:0005515 GO:0008017 GO:0008093 GO:0046966 GO:0051015 GO:0001578 GO:0009267 GO:0031110 GO:0051764 GO:0097067 GO:1904825
G3BP1,down,GO:0003677 GO:0003678 GO:0003723 GO:0003724 GO:0003729 GO:0004519 GO:0005515 GO:0005524 GO:0016887 GO:0033677 GO:0007265 GO:0032481 GO:0032508 GO:0034063 GO:0045087 GO:0051607 GO:0062029 GO:0090090 GO:0090305
ZMIZ2,up,GO:0005515 GO:0008270 GO:0030374 GO:0006357 GO:0007179 GO:0045944 GO:0060395
STAT2,up,GO:0000978 GO:0000981 GO:0005515 GO:0042802 GO:0044389 GO:0001932 GO:0006357 GO:0006952 GO:0007259 GO:0019221 GO:0042127 GO:0043434 GO:0045944 GO:0051607 GO:0060337 GO:0060339 GO:0090140
HDAC10,up,GO:0004407 GO:0005515 GO:0008270 GO:0019213 GO:0019899 GO:0033558 GO:0042826 GO:0047609 GO:0047611 GO:0000122 GO:0006281 GO:0006325 GO:0006355 GO:0006476 GO:0016236 GO:0016575 GO:0032425 GO:0034983 GO:0035825 GO:0045892 GO:0106047 GO:0106048
PML,up,GO:0003677 GO:0004842 GO:0005515 GO:0008270 GO:0019789 GO:0031625 GO:0032183 GO:0042803 GO:0046332 GO:0140037 GO:0001666 GO:0006355 GO:0006606 GO:0006919 GO:0006977 GO:0007179 GO:0007182 GO:0008285 GO:0008630 GO:0008631 GO:0009411 GO:0010332 GO:0010522 GO:0010761 GO:0016525 GO:0016567 GO:0016925 GO:0030099 GO:0030155 GO:0030308 GO:0030578 GO:0031503 GO:0032206 GO:0032469 GO:0032691 GO:0032922 GO:0034097 GO:0042752 GO:0042771 GO:0043153 GO:0043161 GO:0044790 GO:0045087 GO:0045165 GO:0045892 GO:0045893 GO:0048146 GO:0048384 GO:0051457 GO:0060444 GO:0065003 GO:0070059 GO:0071353 GO:0090398 GO:0090402 GO:0097191 GO:1901798 GO:1990830 GO:2000059 GO:2000758 GO:2000779 GO:2001238
NUCKS1,down,GO:0003682 GO:0003690 GO:0003697 GO:0003713 GO:0003723 GO:0140297 GO:0000724 GO:0001678 GO:0006275 GO:0006325 GO:0031297 GO:0035822 GO:0036297 GO:0043923 GO:0044827 GO:0044829 GO:0045944 GO:0046626 GO:0046628 GO:0060382 GO:0071481 GO:1990968 GO:1990969
TPM2,up,GO:0003779 GO:0008307 GO:0042802 GO:0042803 GO:0046982 GO:0051015 GO:0006936 GO:0007015 GO:0043462
INF2,up,GO:0003779 GO:0005515 GO:0031267 GO:0030036 GO:0051056 GO:0090140
